Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Jarvis Landry*\LandJa00,MIA,25,WR,16,16,161,112,69.6%,987,8.8,9,62,49,6.1,7.0,61.7,4
2,Larry Fitzgerald*\FitzLa00,ARI,34,WR,16,16,161,109,67.7%,1156,10.6,6,65,37,7.2,6.8,72.3,1
3,Michael Thomas*\ThomMi05,NOR,24,WR,16,14,149,104,69.8%,1245,12.0,5,71,43,8.4,6.5,77.8,0
4,Keenan Allen*\AlleKe00,LAC,25,WR,16,15,159,102,64.2%,1393,13.7,6,74,51,8.8,6.4,87.1,1
5,Antonio Brown *+\BrowAn04,PIT,29,WR,14,14,163,101,62.0%,1533,15.2,9,69,57,9.4,7.2,109.5,4
6,DeAndre Hopkins*+\HopkDe00,HOU,25,WR,15,15,174,96,55.2%,1378,14.4,13,69,72,7.9,6.4,91.9,1
7,Golden Tate\TateGo00,DET,29,WR,16,12,120,92,76.7%,1003,10.9,5,44,71,8.4,5.8,62.7,1
8,Adam Thielen*\ThieAd00,MIN,27,WR,16,16,142,91,64.1%,1276,14.0,4,59,65,9.0,5.7,79.8,3
9,Julio Jones*\JoneJu02,ATL,28,WR,16,16,148,88,59.5%,1444,16.4,3,67,53,9.8,5.5,90.3,0
10,Le'Veon Bell*+\BellLe00,PIT,25,RB,15,15,106,85,80.2%,655,7.7,2,32,42,6.2,5.7,43.7,3
11,Travis Kelce*\KelcTr00,KAN,28,TE,15,15,122,83,68.0%,1038,12.5,8,53,44,8.5,5.5,69.2,0
12,Demaryius Thomas\ThomDe03,DEN,30,WR,16,16,140,83,59.3%,949,11.4,5,53,40,6.8,5.2,59.3,1
13,Alvin Kamara*\KamaAl00,NOR,22,fb/rb,16,3,100,81,81.0%,826,10.2,5,38,40,8.3,5.1,51.6,1
14,Jack Doyle*\DoylJa00,IND,27,TE,15,15,108,80,74.1%,690,8.6,4,36,26,6.4,5.3,46.0,2
15,Christian McCaffrey\McCaCh01,CAR,21,RB,16,10,113,80,70.8%,651,8.1,5,37,37,5.8,5.0,40.7,2
16,Doug Baldwin *\BaldDo00,SEA,29,WR,16,16,116,75,64.7%,991,13.2,8,44,54,8.5,4.7,61.9,0
17,A.J. Green*\GreeA.00,CIN,29,WR,16,16,143,75,52.4%,1078,14.4,8,55,77,7.5,4.7,67.4,2
18,Tyreek Hill*\HillTy00,KAN,23,WR,15,13,105,75,71.4%,1183,15.8,7,40,79,11.3,5.0,78.9,2
19,Davante Adams*\AdamDa01,GNB,25,WR,14,14,117,74,63.2%,885,12.0,10,46,55,7.6,5.3,63.2,0
20,Zach Ertz*\ErtzZa00,PHI,27,TE,14,13,110,74,67.3%,824,11.1,8,46,53,7.5,5.3,58.9,1
21,Duke Johnson\JohnDu00,CLE,24,,16,0,93,74,79.6%,693,9.4,3,32,41,7.5,4.6,43.3,4
22,Delanie Walker*\WalkHu00,TEN,33,TE,16,11,111,74,66.7%,807,10.9,3,44,42,7.3,4.6,50.4,2
23,Mike Evans\EvanMi00,TAM,24,WR,15,15,136,71,52.2%,1001,14.1,5,55,42,7.4,4.7,66.7,1
24,Dez Bryant\BryaDe01,DAL,29,WR,16,16,132,69,52.3%,838,12.1,6,44,50,6.3,4.3,52.4,1
25,Rob Gronkowski*+\GronRo00,NWE,28,TE,14,14,105,69,65.7%,1084,15.7,8,57,53,10.3,4.9,77.4,1
26,Mohamed Sanu\SanuMo00,ATL,28,WR,15,15,96,67,69.8%,703,10.5,5,41,25,7.3,4.5,46.9,0
27,Randall Cobb\CobbRa00,GNB,27,WR,15,14,92,66,71.7%,653,9.9,4,30,46,7.1,4.4,43.5,1
28,Jamison Crowder\CrowJa00,WAS,24,wr,15,6,103,66,64.1%,789,12.0,3,38,41,7.7,4.4,52.6,6
29,Brandin Cooks\CookBr00,NWE,24,WR,16,15,114,65,57.0%,1082,16.6,7,42,64,9.5,4.1,67.6,0
30,Jermaine Kearse\KearJe01,NYJ,27,WR,16,14,102,65,63.7%,810,12.5,5,37,51,7.9,4.1,50.6,1
31,Stefon Diggs\DiggSt00,MIN,24,WR,14,14,95,64,67.4%,849,13.3,8,42,59,8.9,4.6,60.6,0
32,Evan Engram\EngrEv00,NYG,23,TE,15,11,115,64,55.7%,722,11.3,6,37,35,6.3,4.3,48.1,0
33,Todd Gurley*+\GurlTo01,LAR,23,RB,15,15,87,64,73.6%,788,12.3,6,32,80,9.1,4.3,52.5,5
34,Robby Anderson\AndeRo04,NYJ,24,WR,16,15,114,63,55.3%,941,14.9,7,38,69,8.3,3.9,58.8,0
35,Devin Funchess\FuncDe00,CAR,23,WR,16,16,111,63,56.8%,840,13.3,8,40,44,7.6,3.9,52.5,0
36,Jason Witten*\WittJa00,DAL,35,TE,16,16,87,63,72.4%,560,8.9,5,26,28,6.4,3.9,35.0,1
37,Nelson Agholor\AghoNe00,PHI,24,WR,16,10,95,62,65.3%,768,12.4,8,35,72,8.1,3.9,48.0,0
38,Cooper Kupp\KuppCo00,LAR,24,wr,15,6,94,62,66.0%,869,14.0,5,42,64,9.2,4.1,57.9,1
39,Danny Amendola\AmenDa00,NWE,32,WR,15,8,86,61,70.9%,659,10.8,2,40,27,7.7,4.1,43.9,2
40,Adam Humphries\HumpAd00,TAM,24,wr,16,3,83,61,73.5%,631,10.3,1,36,43,7.6,3.8,39.4,1
41,Marvin Jones\JoneMa02,DET,27,WR,16,16,107,61,57.0%,1101,18.0,9,44,58,10.3,3.8,68.8,0
42,Ben Watson\WatsBe00,BAL,37,TE,16,12,79,61,77.2%,522,8.6,4,30,33,6.6,3.8,32.6,1
43,Carlos Hyde\HydeCa00,SFO,27,RB,16,16,88,59,67.0%,350,5.9,0,18,18,4.0,3.7,21.9,2
44,LeSean McCoy*\McCoLe01,BUF,29,RB,16,16,77,59,76.6%,448,7.6,2,23,39,5.8,3.7,28.0,3
45,Sterling Shepard\ShepSt00,NYG,24,WR,11,10,84,59,70.2%,731,12.4,2,36,77,8.7,5.4,66.5,1
46,Kendall Wright\WrigKe01,CHI,28,wr,16,4,91,59,64.8%,614,10.4,1,33,22,6.7,3.7,38.4,0
47,Michael Crabtree\CrabMi00,OAK,30,WR,14,14,101,58,57.4%,618,10.7,8,35,41,6.1,4.1,44.1,1
48,Melvin Gordon\GordMe00,LAC,24,RB,16,16,83,58,69.9%,476,8.2,4,22,49,5.7,3.6,29.8,1
49,Mark Ingram*\IngrMa01,NOR,28,RB,16,12,71,58,81.7%,416,7.2,0,19,54,5.9,3.6,26.0,3
50,JuJu Smith-Schuster\SmitJu00,PIT,21,wr,14,7,79,58,73.4%,917,15.8,7,37,97,11.6,4.1,65.5,0
51,Kenny Stills\StilKe00,MIA,25,WR,16,16,105,58,55.2%,847,14.6,6,36,61,8.1,3.6,52.9,4
52,Jimmy Graham*\GrahJi00,SEA,31,TE,16,13,96,57,59.4%,520,9.1,10,34,33,5.4,3.6,32.5,0
53,T.Y. Hilton*\HiltT.00,IND,28,WR,16,16,109,57,52.3%,966,16.9,4,38,80,8.9,3.6,60.4,2
54,Alshon Jeffery\JeffAl00,PHI,27,WR,16,16,120,57,47.5%,789,13.8,9,44,53,6.6,3.6,49.3,0
55,DeVante Parker\ParkDe01,MIA,24,WR,13,12,96,57,59.4%,670,11.8,1,34,36,7.0,4.4,51.5,1
56,Kyle Rudolph *\RudoKy00,MIN,28,TE,16,16,81,57,70.4%,532,9.3,8,32,34,6.6,3.6,33.3,0
57,Marquise Goodwin\GoodMa00,SFO,27,WR,16,16,105,56,53.3%,962,17.2,2,46,83,9.2,3.5,60.1,0
58,Marqise Lee\LeexMa00,JAX,26,WR,14,14,96,56,58.3%,702,12.5,3,40,45,7.3,4.0,50.1,1
59,James White\WhitJa02,NWE,25,rb,14,4,72,56,77.8%,429,7.7,3,25,27,6.0,4.0,30.6,0
60,Robert Woods\WoodRo02,LAR,25,WR,12,11,85,56,65.9%,781,13.9,5,36,94,9.2,4.7,65.1,1
61,Jared Cook\CookJa02,OAK,30,TE,16,16,86,54,62.8%,688,12.7,2,35,35,8.0,3.4,43.0,1
62,Eric Decker\DeckEr00,TEN,30,WR,16,8,83,54,65.1%,563,10.4,1,31,29,6.8,3.4,35.2,0
63,Tarik Cohen\CoheTa00,CHI,22,rb/wr,16,4,71,53,74.6%,353,6.7,1,9,70,5.0,3.3,22.1,3
64,Eric Ebron\EbroEr00,DET,24,TE,16,9,86,53,61.6%,574,10.8,4,31,44,6.7,3.3,35.9,1
65,Ted Ginn Jr.\GinnTe00,NOR,32,WR,15,10,70,53,75.7%,787,14.8,4,32,54,11.2,3.5,52.5,2
66,Kareem Hunt*\HuntKa00,KAN,22,RB,16,16,63,53,84.1%,455,8.6,3,17,78,7.2,3.3,28.4,1
67,Rishard Matthews\MattRi00,TEN,28,WR,14,11,87,53,60.9%,795,15.0,4,36,75,9.1,3.8,56.8,0
68,Jordy Nelson\NelsJo00,GNB,32,WR,15,15,88,53,60.2%,482,9.1,6,38,58,5.5,3.5,32.1,0
69,Theo Riddick\RiddTh00,DET,26,rb,16,5,71,53,74.6%,444,8.4,2,20,63,6.3,3.3,27.8,1
70,Terrance Williams\WillTe01,DAL,28,WR,16,14,78,53,67.9%,568,10.7,0,31,56,7.3,3.3,35.5,0
71,Brandon LaFell\LaFeBr00,CIN,31,WR,16,15,89,52,58.4%,548,10.5,3,25,45,6.2,3.3,34.3,1
72,Mike Wallace\WallMi00,BAL,31,WR,15,14,92,52,56.5%,748,14.4,4,33,66,8.1,3.5,49.9,0
73,Jerick McKinnon\McKiJe00,MIN,25,rb,16,1,68,51,75.0%,421,8.3,2,20,41,6.2,3.2,26.3,3
74,Martavis Bryant\BryaMa00,PIT,26,WR,15,8,84,50,59.5%,603,12.1,3,29,51,7.2,3.3,40.2,0
75,DeSean Jackson\JackDe00,TAM,31,WR,14,13,90,50,55.6%,668,13.4,3,37,41,7.4,3.6,47.7,0
76,Austin Seferian-Jenkins\SefeAu00,NYJ,25,TE,13,10,74,50,67.6%,357,7.1,3,18,28,4.8,3.8,27.5,1
77,Charles Clay\ClayCh00,BUF,28,TE,13,13,74,49,66.2%,558,11.4,2,29,44,7.5,3.8,42.9,1
78,Austin Hooper\HoopAu00,ATL,23,TE,16,8,65,49,75.4%,526,10.7,3,18,88,8.1,3.1,32.9,0
79,Kelvin Benjamin\BenjKe00,2TM,26,,14,14,78,48,61.5%,692,14.4,3,0,43,8.9,3.4,49.4,0
80,Cameron Brate\BratCa00,TAM,26,te,16,5,77,48,62.3%,591,12.3,6,34,35,7.7,3.0,36.9,1
81,Amari Cooper\CoopAm00,OAK,23,WR,14,12,96,48,50.0%,680,14.2,7,28,87,7.1,3.4,48.6,1
82,Emmanuel Sanders\SandEm00,DEN,30,WR,12,11,92,47,51.1%,555,11.8,2,30,38,6.0,3.9,46.3,0
83,Javorius Allen\AlleJa01,BAL,26,,16,0,60,46,76.7%,250,5.4,2,16,20,4.2,2.9,15.6,0
84,Ryan Grant\GranRy01,WAS,27,wr,16,7,65,45,69.2%,573,12.7,4,29,40,8.8,2.8,35.8,0
85,Hunter Henry\HenrHu00,LAC,23,fb/tb/TE,14,13,62,45,72.6%,579,12.9,4,32,34,9.3,3.2,41.4,0
86,Tyler Lockett\LockTy00,SEA,25,WR,16,8,71,45,63.4%,555,12.3,2,24,74,7.8,2.8,34.7,0
87,Paul Richardson\RichPa01,SEA,25,WR,16,13,80,44,55.0%,703,16.0,6,34,61,8.8,2.8,43.9,0
88,Shane Vereen\VereSh00,NYG,28,,16,0,53,44,83.0%,253,5.8,0,9,20,4.8,2.8,15.8,0
89,Giovani Bernard\BernGi00,CIN,26,rb,16,2,60,43,71.7%,389,9.0,2,17,61,6.5,2.7,24.3,0
90,Vernon Davis\DaviVe00,WAS,33,TE/wr,16,16,69,43,62.3%,648,15.1,3,24,69,9.4,2.7,40.5,2
91,Jesse James\JameJe00,PIT,23,TE,16,14,63,43,68.3%,372,8.7,3,20,32,5.9,2.7,23.3,0
92,George Kittle\KittGe00,SFO,24,te,15,7,63,43,68.3%,515,12.0,2,24,44,8.2,2.9,34.3,0
93,Seth Roberts\RobeSe00,OAK,26,wr,15,7,65,43,66.2%,455,10.6,1,23,29,7.0,2.9,30.3,2
94,Trent Taylor\TaylTr02,SFO,23,wr,15,1,60,43,71.7%,430,10.0,2,27,33,7.2,2.9,28.7,1
95,Tyrell Williams\WillTy00,LAC,25,WR,16,15,69,43,62.3%,728,16.9,4,29,75,10.6,2.7,45.5,1
96,Keelan Cole\ColeKe00,JAX,24,wr,16,6,83,42,50.6%,748,17.8,3,32,75,9.0,2.6,46.8,2
97,Tyler Kroft\KrofTy00,CIN,25,TE,16,16,62,42,67.7%,404,9.6,7,22,59,6.5,2.6,25.3,0
98,Albert Wilson\WilsAl02,KAN,25,wr,13,7,62,42,67.7%,554,13.2,3,32,63,8.9,3.2,42.6,0
99,Julius Thomas\ThomJu00,MIA,29,TE,14,12,62,41,66.1%,388,9.5,3,18,27,6.3,2.9,27.7,1
100,Pierre Garcon\GarcPi00,SFO,31,WR,8,8,67,40,59.7%,500,12.5,0,26,59,7.5,5.0,62.5,0
101,Jeremy Maclin\MaclJe00,BAL,29,WR,12,12,72,40,55.6%,440,11.0,3,23,48,6.1,3.3,36.7,0
102,Andre Ellington\ElliAn00,2TM,28,,12,2,59,39,66.1%,369,9.5,0,0,29,6.3,3.3,30.8,0
103,Allen Hurns\HurnAl01,JAX,26,WR,10,8,56,39,69.6%,484,12.4,2,28,50,8.6,3.9,48.4,0
104,DeMarco Murray\MurrDe00,TEN,29,RB,15,15,47,39,83.0%,266,6.8,1,11,18,5.7,2.6,17.7,1
105,Chris Thompson\ThomCh03,WAS,27,rb,10,1,54,39,72.2%,510,13.1,4,22,74,9.4,3.9,51.0,3
106,Sammy Watkins\WatkSa00,LAR,24,WR,15,14,70,39,55.7%,593,15.2,8,33,67,8.5,2.6,39.5,0
107,Deonte Thompson\ThomDe04,2TM,28,,16,10,69,38,55.1%,555,14.6,2,0,46,8.0,2.4,34.7,1
108,Matt Forte\FortMa00,NYJ,32,rb,12,4,45,37,82.2%,293,7.9,1,14,34,6.5,3.1,24.4,1
109,Cole Beasley\BeasCo00,DAL,28,wr,15,4,63,36,57.1%,314,8.7,4,20,54,5.0,2.4,20.9,0
110,Leonard Fournette\FourLe00,JAX,22,RB,13,13,48,36,75.0%,302,8.4,1,18,28,6.3,2.8,23.2,2
111,Devonta Freeman\FreeDe00,ATL,25,RB,14,14,47,36,76.6%,317,8.8,1,18,29,6.7,2.6,22.6,4
112,Roger Lewis\LewiRo03,NYG,24,WR,15,8,72,36,50.0%,416,11.6,2,20,34,5.8,2.4,27.7,0
113,Lamar Miller\MillLa01,HOU,26,RB,16,13,45,36,80.0%,327,9.1,3,18,32,7.3,2.3,20.4,1
114,Torrey Smith\SmitTo02,PHI,28,WR,16,14,67,36,53.7%,430,11.9,2,11,59,6.4,2.3,26.9,0
115,Josh Doctson\DoctJo00,WAS,25,WR,16,14,78,35,44.9%,502,14.3,6,25,52,6.4,2.2,31.4,0
116,Charles Sims\SimsCh00,TAM,27,,16,0,47,35,74.5%,249,7.1,1,13,25,5.3,2.2,15.6,1
117,Travis Benjamin\BenjTr00,LAC,28,wr,16,3,62,34,54.8%,567,16.7,4,21,62,9.1,2.1,35.4,2
118,Corey Davis\DaviCo03,TEN,22,WR,11,9,65,34,52.3%,375,11.0,0,17,37,5.8,3.1,34.1,1
119,Wayne Gallman\GallWa00,NYG,23,rb,13,1,48,34,70.8%,193,5.7,1,8,11,4.0,2.6,14.8,3
120,Chris Godwin\GodwCh00,TAM,21,wr,16,2,55,34,61.8%,525,15.4,1,27,70,9.5,2.1,32.8,0
121,Chris Hogan\HogaCh00,NWE,30,wr,9,7,59,34,57.6%,439,12.9,5,22,47,7.4,3.8,48.8,0
122,J.D. McKissic\McKiJ.00,SEA,24,rb,13,1,46,34,73.9%,266,7.8,2,14,27,5.8,2.6,20.5,0
123,DeAndre Washington\WashDe00,OAK,24,,15,0,45,34,75.6%,197,5.8,1,15,15,4.4,2.3,13.1,2
124,Seth Devalve\DevaSe00,CLE,24,te,16,4,58,33,56.9%,395,12.0,1,18,49,6.8,2.1,24.7,1
125,Taylor Gabriel\GabrTa00,ATL,26,wr,16,4,51,33,64.7%,378,11.5,1,17,40,7.4,2.1,23.6,0
126,Jermaine Gresham\GresJe00,ARI,29,TE,14,14,46,33,71.7%,322,9.8,2,17,21,7.0,2.4,23.0,0
127,Kyle Juszczyk*\JuszKy00,SFO,26,FB,14,10,42,33,78.6%,315,9.5,1,13,44,7.5,2.4,22.5,2
128,Danny Woodhead\WoodDa02,BAL,32,,8,0,39,33,84.6%,200,6.1,0,9,22,5.1,4.1,25.0,0
129,Kenyan Drake\DrakKe00,MIA,23,rb,16,6,48,32,66.7%,239,7.5,1,7,47,5.0,2.0,14.9,2
130,Dion Lewis\LewiDi00,NWE,27,RB,16,8,35,32,91.4%,214,6.7,3,11,20,6.1,2.0,13.4,0
131,David Njoku\NjokDa00,CLE,21,te,16,5,60,32,53.3%,386,12.1,4,17,34,6.4,2.0,24.1,0
132,Jaron Brown\BrowJa03,ARI,27,WR,16,8,69,31,44.9%,477,15.4,4,23,52,6.9,1.9,29.8,0
133,Cordarrelle Patterson\PattCo00,OAK,26,wr,16,2,42,31,73.8%,309,10.0,0,14,59,7.4,1.9,19.3,3
134,Martellus Bennett\BennMa00,2TM,30,,9,7,44,30,68.2%,286,9.5,0,0,33,6.5,3.3,31.8,0
135,Devontae Booker\BookDe00,DEN,25,,13,0,38,30,78.9%,275,9.2,0,13,29,7.2,2.3,21.2,2
136,Rex Burkhead\BurkRe00,NWE,27,rb,10,3,36,30,83.3%,254,8.5,3,13,23,7.1,3.0,25.4,1
137,Ed Dickson\DickEd00,CAR,30,TE,16,12,48,30,62.5%,437,14.6,1,22,64,9.1,1.9,27.3,0
138,Antonio Gates\GateAn00,LAC,37,te,16,4,52,30,57.7%,316,10.5,3,16,27,6.1,1.9,19.8,0
139,T.J. Jones\JoneT.00,DET,25,wr,14,6,49,30,61.2%,399,13.3,1,22,34,8.1,2.1,28.5,1
140,Joe Mixon\MixoJo00,CIN,21,rb,14,7,34,30,88.2%,287,9.6,0,10,67,8.4,2.1,20.5,3
141,T.J. Yeldon\YeldT.00,JAX,24,,10,0,41,30,73.2%,224,7.5,0,14,20,5.5,3.0,22.4,2
142,Bruce Ellington\ElliBr00,HOU,26,wr,11,6,57,29,50.9%,330,11.4,2,15,35,5.8,2.6,30.0,1
143,Bennie Fowler\FowlBe00,DEN,26,wr,16,4,56,29,51.8%,350,12.1,3,18,29,6.3,1.8,21.9,1
144,Frank Gore\GoreFr00,IND,34,RB,16,16,38,29,76.3%,245,8.4,1,9,26,6.4,1.8,15.3,3
145,JJ Nelson\NelsJJ00,ARI,25,wr,16,5,61,29,47.5%,508,17.5,2,21,46,8.3,1.8,31.8,1
146,C.J. Anderson\AndeC.00,DEN,26,RB,16,16,40,28,70.0%,224,8.0,1,7,25,5.6,1.8,14.0,1
147,Nick Boyle\BoylNi00,BAL,24,TE,15,11,37,28,75.7%,203,7.3,0,11,16,5.5,1.9,13.5,0
148,Isaiah Crowell\CrowIs00,CLE,24,RB,16,16,42,28,66.7%,182,6.5,0,9,38,4.3,1.8,11.4,1
149,Will Fuller\FullWi01,HOU,23,WR,10,10,50,28,56.0%,423,15.1,7,21,59,8.5,2.8,42.3,0
150,Kenny Golladay\GollKe00,DET,24,k/wr,11,5,48,28,58.3%,477,17.0,3,18,54,9.9,2.5,43.4,0
151,Tevin Coleman\ColeTe01,ATL,24,fb/rb,15,3,39,27,69.2%,299,11.1,3,13,39,7.7,1.8,19.9,1
152,Austin Ekeler\EkelAu00,LAC,22,,16,0,35,27,77.1%,279,10.3,3,12,38,8.0,1.7,17.4,2
153,Rashard Higgins\HiggRa00,CLE,23,fb/wr,15,4,50,27,54.0%,312,11.6,2,13,56,6.2,1.8,20.8,1
154,Zay Jones\JoneZa00,BUF,22,WR,15,10,74,27,36.5%,316,11.7,2,19,33,4.3,1.8,21.1,0
155,Ricardo Louis\LouiRi00,CLE,23,WR,16,9,61,27,44.3%,357,13.2,0,18,37,5.9,1.7,22.3,0
156,Jordan Reed\ReedJo02,WAS,27,te,6,5,35,27,77.1%,211,7.8,2,10,20,6.0,4.5,35.2,1
157,Jalen Richard\RichJa01,OAK,24,rb,16,1,36,27,75.0%,256,9.5,1,13,39,7.1,1.7,16.0,8
158,Charcandrick West\WestCh01,KAN,26,,13,0,34,27,79.4%,150,5.6,2,7,25,4.4,2.1,11.5,1
159,Dede Westbrook\WestDe00,JAX,24,wr,7,5,51,27,52.9%,339,12.6,1,15,29,6.6,3.9,48.4,1
160,Ezekiel Elliott\ElliEz00,DAL,22,RB,10,10,38,26,68.4%,269,10.3,2,6,72,7.1,2.6,26.9,1
161,O.J. Howard\HowaO.00,TAM,23,TE,14,14,39,26,66.7%,432,16.6,6,20,58,11.1,1.9,30.9,3
162,Donte Moncrief\MoncDo00,IND,24,WR,12,8,47,26,55.3%,391,15.0,2,22,60,8.3,2.2,32.6,0
163,Ameer Abdullah\AbduAm00,DET,24,RB,14,11,35,25,71.4%,162,6.5,1,13,22,4.6,1.8,11.6,2
164,Stephen Anderson\AndeSt01,HOU,24,te,15,5,52,25,48.1%,342,13.7,1,17,42,6.6,1.7,22.8,0
165,Odell Beckham Jr.\BeckOd00,NYG,25,wr,4,2,41,25,61.0%,302,12.1,3,14,48,7.4,6.3,75.5,0
166,Tyler Higbee\HigbTy00,LAR,24,TE,16,16,45,25,55.6%,295,11.8,1,12,38,6.6,1.6,18.4,0
167,Dontrelle Inman\InmaDo00,2TM,28,,12,7,44,25,56.8%,343,13.7,1,0,26,7.8,2.1,28.6,0
168,Jordan Matthews\MattJo00,BUF,25,wr,10,7,36,25,69.4%,282,11.3,1,13,47,7.8,2.5,28.2,1
169,Jamaal Williams\WillJa06,GNB,22,rb,16,7,34,25,73.5%,262,10.5,2,12,54,7.7,1.6,16.4,0
170,Jay Ajayi\AjayJa00,2TM,24,,14,8,34,24,70.6%,158,6.6,1,0,32,4.6,1.7,11.3,3
171,Josh Bellamy\BellJo02,CHI,28,wr,15,7,46,24,52.2%,376,15.7,1,15,46,8.2,1.6,25.1,0
172,Rhett Ellison\ElliRh00,NYG,29,TE,16,14,32,24,75.0%,235,9.8,2,13,27,7.3,1.5,14.7,0
173,Marcedes Lewis\LewiMa00,JAX,33,TE,16,16,48,24,50.0%,318,13.3,5,18,37,6.6,1.5,19.9,0
174,Geronimo Allison\AlliGe01,GNB,23,wr,15,2,39,23,59.0%,253,11.0,0,10,72,6.5,1.5,16.9,2
175,Trey Burton\BurtTr01,PHI,26,te,15,1,31,23,74.2%,248,10.8,5,14,27,8.0,1.5,16.5,0
176,Jamaal Charles\CharJa00,DEN,31,,14,0,28,23,82.1%,129,5.6,0,6,20,4.6,1.6,9.2,2
177,Brandon Coleman\ColeBr00,NOR,25,wr,16,6,37,23,62.2%,364,15.8,3,13,54,9.8,1.4,22.8,2
178,Corey Coleman\ColeCo00,CLE,23,WR,9,8,58,23,39.7%,305,13.3,2,17,44,5.3,2.6,33.9,0
179,Alex Collins\CollAl00,BAL,23,RB,15,12,36,23,63.9%,187,8.1,0,8,37,5.2,1.5,12.5,4
180,Jordan Howard\HowaJo00,CHI,23,RB,16,16,32,23,71.9%,125,5.4,0,4,12,3.9,1.4,7.8,1
181,Ty Montgomery\MontTy01,GNB,24,rb,8,5,31,23,74.2%,173,7.5,1,8,23,5.6,2.9,21.6,0
182,Bilal Powell\PoweBi00,NYJ,29,RB,15,10,33,23,69.7%,170,7.4,0,9,31,5.2,1.5,11.3,1
183,Chester Rogers\RogeCh02,IND,23,wr,11,4,37,23,62.2%,284,12.3,1,16,61,7.7,2.1,25.8,0
184,Tyler Boyd\BoydTy00,CIN,23,wr,10,1,32,22,68.8%,225,10.2,2,14,49,7.0,2.2,22.5,0
185,Coby Fleener\FleeCo00,NOR,29,,11,1,30,22,73.3%,295,13.4,2,13,33,9.8,2.0,26.8,0
186,Jeremy Kerley\KerlJe00,NYJ,29,wr,8,2,27,22,81.5%,217,9.9,1,13,31,8.0,2.8,27.1,3
187,Nick O'Leary\OLeaNi00,BUF,25,te,15,5,32,22,68.8%,322,14.6,2,14,32,10.1,1.5,21.5,1
188,Samaje Perine\PeriSa00,WAS,22,RB,16,8,24,22,91.7%,182,8.3,1,9,25,7.6,1.4,11.4,2
189,Matt Breida\BreiMa00,SFO,22,,16,0,36,21,58.3%,180,8.6,1,9,32,5.0,1.3,11.3,1
190,John Brown\BrowJo02,ARI,27,wr,10,5,55,21,38.2%,299,14.2,3,15,52,5.4,2.1,29.9,0
191,Garrett Celek\CeleGa00,SFO,29,fb/TE,16,13,33,21,63.6%,336,16.0,4,15,61,10.2,1.3,21.0,0
192,A.J. Derby\DerbA.00,2TM,26,,11,1,40,21,52.5%,244,11.6,2,0,29,6.1,1.9,22.2,1
193,Chris Ivory\IvorCh00,JAX,29,rb,14,3,28,21,75.0%,175,8.3,1,8,29,6.3,1.5,12.5,2
194,Marlon Mack\MackMa00,IND,21,,14,0,33,21,63.6%,225,10.7,1,10,34,6.8,1.5,16.1,1
195,Demarcus Robinson\RobiDe01,KAN,23,WR,16,8,39,21,53.8%,212,10.1,0,12,33,5.4,1.3,13.3,0
196,Kenny Britt\BritKe00,2TM,29,,12,4,43,20,46.5%,256,12.8,2,0,38,6.0,1.7,21.3,0
197,Benny Cunningham\CunnBe01,CHI,27,,14,0,26,20,76.9%,240,12.0,2,9,40,9.2,1.4,17.1,1
198,Justin Hardy\HardJu00,ATL,26,wr,16,1,29,20,69.0%,221,11.1,3,13,27,7.6,1.3,13.8,1
199,Marshawn Lynch\LyncMa00,OAK,31,RB,15,15,31,20,64.5%,151,7.6,0,6,26,4.9,1.3,10.1,1
200,Zach Miller\MillZa02,CHI,33,te,8,6,35,20,57.1%,236,11.8,2,10,29,6.7,2.5,29.5,0